Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_58,Day63,15.54921,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day77,9.038623,Boost d28,Fig2C-Brown
2016 Tam,Mouse_58,Day91,8.895191,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day7,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day14,0.4281409,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day21,0.4342065,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day28,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day35,23.44384,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day42,38.54752,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day49,49.27917,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day56,74.61265,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day63,58.76174,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day77,37.35865,Boost d28,Fig2C-Brown
2016 Tam,Mouse_59,Day91,33.1739,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day7,0.4302263,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day14,1.319262,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day21,0.2927135,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day28,0.9390607,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day35,7.17716,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day42,9.680984,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day49,6.854576,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day56,13.93755,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day63,7.342007,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day77,5.744718,Boost d28,Fig2C-Brown
2016 Tam,Mouse_60,Day91,4.780294,Boost d28,Fig2C-Brown
2016 Tam,Mouse_61,Day7,0.1,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_61,Day14,28.79469,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_61,Day21,77.81121,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_61,Day28,39.35182,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_61,Day35,28.44055,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_61,Day42,474.6508,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_61,Day49,570.38,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_61,Day56,368.3689,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_62,Day7,2.680779,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_62,Day14,61.29676,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_62,Day21,162.8204,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_62,Day28,31.35241,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_62,Day35,29.74012,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_62,Day42,607.5157,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_62,Day49,450.4861,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_62,Day56,455.3108,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_63,Day7,0.1,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_63,Day14,304.7862,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_63,Day21,136.3982,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_63,Day28,56.03549,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_63,Day35,52.95003,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_63,Day42,1238.749,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_63,Day49,1036.818,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_63,Day56,715.6763,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_64,Day7,0.1,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_64,Day14,46.05027,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_64,Day21,100.8399,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_64,Day28,38.72969,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_64,Day35,41.20255,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_64,Day42,537.5219,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_64,Day49,656.146,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_64,Day56,359.2228,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_65,Day7,0.1,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_65,Day14,73.98344,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_65,Day21,76.00111,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_65,Day28,31.74461,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_65,Day35,42.41388,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_65,Day42,607.9431,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_65,Day49,464.9641,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_65,Day56,411.0151,Exp Prime/Boost,Fig2F-Pink
2016 Tam,Mouse_66,Day7,4.777283,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_66,Day14,188.7816,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_66,Day21,90.02423,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_66,Day28,63.76992,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_66,Day35,253.5651,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_66,Day42,343.3736,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_66,Day49,172.285,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_66,Day56,371.4219,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_67,Day7,14.45811,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_67,Day14,70.73802,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_67,Day21,92.14639,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_67,Day28,34.38642,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_67,Day35,199.2573,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_67,Day42,163.9377,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_67,Day49,325.2885,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_67,Day56,109.6471,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_68,Day7,0.124254,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_68,Day14,93.53616,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_68,Day21,40.03411,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_68,Day28,58.97023,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_68,Day35,248.5822,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_68,Day42,180.5445,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_68,Day49,155.4297,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_68,Day56,173.989,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_69,Day7,0.1,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_69,Day14,94.59493,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_69,Day21,12.56625,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_69,Day28,33.7765,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_69,Day35,403.6712,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_69,Day42,312.3097,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_69,Day49,146.5306,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_69,Day56,322.5318,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_70,Day7,0.916034,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_70,Day14,77.58456,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_70,Day21,16.327,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_70,Day28,64.39606,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_70,Day35,245.4128,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_70,Day42,212.7937,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_70,Day49,344.1155,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_70,Day56,186.4037,Exp Increase 2wk,Fig2F-Purple
2016 Tam,Mouse_71,Day7,6.804521,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_71,Day14,17.45782,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_71,Day21,17.82315,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_71,Day28,54.96464,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_71,Day35,55.23149,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_71,Day42,162.7522,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_71,Day49,286.3189,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_71,Day56,219.6136,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_72,Day7,3.564354,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_72,Day14,13.60558,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_72,Day21,20.00962,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_72,Day28,6.037785,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_72,Day35,5.627005,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_72,Day42,153.2137,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_72,Day49,84.10667,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_72,Day56,136.8963,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_73,Day7,1.046303,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_73,Day14,21.91613,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_73,Day21,12.80836,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_73,Day28,7.192798,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_73,Day35,10.03311,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_73,Day42,84.60548,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_73,Day49,165.6495,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_73,Day56,117.3217,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_74,Day7,4.578537,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_74,Day14,35.09439,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_74,Day21,11.95703,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_74,Day28,9.554059,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_74,Day35,7.304775,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_74,Day42,62.13013,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_74,Day49,171.4763,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_74,Day56,58.17552,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_75,Day7,5.076205,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_75,Day14,6.245463,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_75,Day21,15.41462,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_75,Day28,14.47545,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_75,Day35,19.55552,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_75,Day42,31.99637,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_75,Day49,279.0979,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_75,Day56,243.1571,Exp Boost,Fig2F-Gray
2016 Tam,Mouse_76,Day7,1.770895,Boost d28,Fig2C-Brown
2016 Tam,Mouse_76,Day14,8.227805,Boost d28,Fig2C-Brown
2016 Tam,Mouse_76,Day21,42.21231,Boost d28,Fig2C-Brown
2016 Tam,Mouse_76,Day28,4.080253,Boost d28,Fig2C-Brown
2016 Tam,Mouse_76,Day35,41.26534,Boost d28,Fig2C-Brown
2016 Tam,Mouse_76,Day42,50.27418,Boost d28,Fig2C-Brown
2016 Tam,Mouse_76,Day49,61.08644,Boost d28,Fig2C-Brown
2016 Tam,Mouse_76,Day56,39.39009,Boost d28,Fig2C-Brown
2016 Tam,Mouse_77,Day7,3.147854,Boost d28,Fig2C-Brown
2016 Tam,Mouse_77,Day14,19.21601,Boost d28,Fig2C-Brown
2016 Tam,Mouse_77,Day21,16.99889,Boost d28,Fig2C-Brown
2016 Tam,Mouse_77,Day28,3.752656,Boost d28,Fig2C-Brown
2016 Tam,Mouse_77,Day35,46.57581,Boost d28,Fig2C-Brown
2016 Tam,Mouse_77,Day42,51.82594,Boost d28,Fig2C-Brown
2016 Tam,Mouse_77,Day49,129.625,Boost d28,Fig2C-Brown
2016 Tam,Mouse_77,Day56,42.60504,Boost d28,Fig2C-Brown
2016 Tam,Mouse_78,Day7,4.232734,Boost d28,Fig2C-Brown
2016 Tam,Mouse_78,Day14,40.56384,Boost d28,Fig2C-Brown
2016 Tam,Mouse_78,Day21,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_78,Day28,6.479828,Boost d28,Fig2C-Brown
2016 Tam,Mouse_78,Day35,135.2218,Boost d28,Fig2C-Brown
2016 Tam,Mouse_78,Day42,140.2953,Boost d28,Fig2C-Brown
2016 Tam,Mouse_78,Day49,146.6287,Boost d28,Fig2C-Brown
2016 Tam,Mouse_78,Day56,93.34428,Boost d28,Fig2C-Brown
2016 Tam,Mouse_79,Day7,9.253855,Boost d28,Fig2C-Brown
2016 Tam,Mouse_79,Day14,15.70716,Boost d28,Fig2C-Brown
2016 Tam,Mouse_79,Day21,1.768363,Boost d28,Fig2C-Brown
2016 Tam,Mouse_79,Day28,25.78664,Boost d28,Fig2C-Brown
2016 Tam,Mouse_79,Day35,136.5124,Boost d28,Fig2C-Brown
2016 Tam,Mouse_79,Day42,135.1518,Boost d28,Fig2C-Brown
2016 Tam,Mouse_79,Day49,53.5628,Boost d28,Fig2C-Brown
2016 Tam,Mouse_79,Day56,93.93203,Boost d28,Fig2C-Brown
2016 Tam,Mouse_80,Day7,2.645193,Boost d28,Fig2C-Brown
2016 Tam,Mouse_80,Day14,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_80,Day21,0.1,Boost d28,Fig2C-Brown
2016 Tam,Mouse_80,Day28,5.811564,Boost d28,Fig2C-Brown
2016 Tam,Mouse_80,Day35,66.3285,Boost d28,Fig2C-Brown
2016 Tam,Mouse_80,Day42,90.40627,Boost d28,Fig2C-Brown
2016 Tam,Mouse_80,Day49,45.68603,Boost d28,Fig2C-Brown
2016 Tam,Mouse_80,Day56,55.22795,Boost d28,Fig2C-Brown
