Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_10,Day70,7.794261,Exp-dec,Fig1C-Green
2016 Tam,Mouse_10,Day77,5.887322,Exp-dec,Fig1C-Green
2016 Tam,Mouse_10,Day84,8.967213,Exp-dec,Fig1C-Green
2016 Tam,Mouse_10,Day125,4.241291,Exp-dec,Fig1C-Green
2016 Tam,Mouse_10,Day139,3.009411,Exp-dec,Fig1C-Green
2016 Tam,Mouse_11,Day7,0.216479,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day14,4.677015,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day21,2.040569,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day28,10.29631,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day35,10.35004,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day42,9.315298,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day49,12.76299,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day56,7.831457,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day63,9.458874,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day70,9.88883,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day77,8.330437,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day84,16.38431,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day125,4.304096,Constant,Fig1C-Yellow
2016 Tam,Mouse_11,Day139,5.73265,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day7,0.090709,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day14,2.001076,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day21,1.452399,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day28,10.30928,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day35,8.494105,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day42,8.283527,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day49,11.69714,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day56,12.11321,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day63,10.64214,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day70,11.1376,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day77,9.777461,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day84,15.3142,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day125,4.448494,Constant,Fig1C-Yellow
2016 Tam,Mouse_12,Day139,4.965694,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day7,0.172887,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day14,4.036566,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day21,2.743407,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day28,10.21125,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day35,14.39765,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day42,13.82155,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day49,16.19494,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day56,21.64638,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day63,18.25288,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day70,18.1834,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day77,21.36755,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day84,17.3132,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day125,1.511348,Constant,Fig1C-Yellow
2016 Tam,Mouse_13,Day139,11.95075,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day7,0.4545,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day14,6.066622,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day21,3.314121,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day28,13.56956,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day35,13.47921,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day42,10.83519,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day49,16.78697,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day56,11.12423,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day63,10.92667,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day70,10.17964,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day77,11.21705,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day84,13.84705,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day125,8.483186,Constant,Fig1C-Yellow
2016 Tam,Mouse_14,Day139,4.781693,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day7,0.21494,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day14,4.475849,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day21,3.183333,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day28,17.60916,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day35,21.59421,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day42,16.81841,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day49,17.43466,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day56,19.34612,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day63,18.15142,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day70,17.97423,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day77,30.08921,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day84,16.94679,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day125,0.892708,Constant,Fig1C-Yellow
2016 Tam,Mouse_15,Day139,8.750155,Constant,Fig1C-Yellow
2016 Tam,Mouse_16,Day7,0.062329,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day14,0.087066,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day21,0.139657,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day28,2.072603,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day35,8.626384,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day42,11.85694,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day49,10.32965,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day56,8.895981,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day63,9.75104,Bolus,Fig1C-Red
